id,produto,quantidade,preço,data
11,cimento,1,10.00,28/05/2024
12,areia,2,90.00,29/05/2024 
13,brita,8,500.00,30/05/2024
14,tijolo,100,6000.00,31/05/2024
15,bloco de concreto,6,140.60,01/06/2024
16,cal,2,60.22,02/06/2024
17,argamassa,8,65.00,03/06/2024
18,pincel,4,8.00,04/06/2024
19,rejunte,5,400.00,05/06/2024
20,tinta acrílica,2,600.00,06/06/2024
21,verniz,5,56.00,07/06/2024
22,massa corrida,5,60.00,08/06/2024
23,esmalte sintético,9,70.00,09/06/2024
24,rolo de pintura,01,5.50,10/06/2024
25,pincel,65,80.00,11/06/2024
26,fita crepe,8,65.90,12/06/2024
27,lixa,1,9.00,13/06/2024
28,espátula,6,50.00,14/06/2024
29,desempenadeira,4,90.00,15/06/2024
30,trena,2,35.00,16/06/2024
31,nível,1,9.00,17/06/2024
32,esquadro,9,158.00,18/06/2024
33,martelo,7,40.00,19/06/2024
34,pregos,8,140.00,20/06/2024
35,parafusos,154,90.00,21/06/2024
66,buchas,8,40.00,22/06/2024
37,furadeira,7,45.00,23/06/2024
38,broca,1,104.00,24/06/2024
39,serra manual,8,50.00,25/06/2024
40,serra,3,l40.00,26/06/2024
41,serra circular,9,500.00,27/06/2024
42,disco de corte,1,10.00,28/06/2024
43,disco desbaste,8,74.00,29/06/2024
44,alicate,1,40.00,30/06/2024
45,alicate de corte,2,58.00,31/06/2024
46,chave philips,3,39.00,02/07/2024
52,chave fenda,2,590.00,03/07/2024
53,chave allen,7,40,00,04/07/2024
54,chave inglesa,87,190.00,05/07/2024
55,serra marmore,1,50.00,06/07/2024
56,lampada,1,150.00,08/07/2024
57,interruptor,8,4.50,09/07/2024
58,tomada,1,7.00,10/07/2024
59,fio elétrico,7,4.00,11/07/2024
70,conduite,8,90.00,12/07/2024
71,disjuntores,7,400.00,13/07/2024
72,caixa de distribuição,6,89.00,14/07/2024
73,tubo de pvc,1,90.00,16/07/2024
74,pincel,7,56.00,17/07/2024
75,registro de agua,2,87.00,18/07/2024
76,valvula,2,74.00,19/07/2024
77,caixa,1,41.00,20/07/2024
78,torneira,7,800.00,21/07/2024
80,vaso,6,84.00,22/07/2024
81,pia,7,741.69,23/07/2024
86,porta,4,958.98,24/07/2024
87,portão,1,1509.52,25/07/2024
88,gabinete de banheiro,1,4000.00,26/07/2024
89,espelho,4,8541.99,28/07/2024
90,torneira,5,400.00,29/07/2024
91,janela,8,414.00,30/07/2024
92,fechadura,4,84.55,31/07/2024
93,vaso,4,500.00,01/08/2024
95,vaso,7,500.00,02/08/2024
96,torneira,1,50.00,03/08/2024
98,vaso,52,5000.00,04/08/2024
